scenario_id,scenario_type,converged,variation_type,variation_params,grid_type,num_buses,num_lines,num_generators,num_loads
23,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 8, 'to_bus': 3, 'length_km': 1.0}}",case9,9,9,2,3
24,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
25,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 7, 'to_bus': 1, 'length_km': 1.0}}",case9,9,9,2,3
26,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
27,n1_contingency,False,n1_contingency,"{'removed_line': {'from_bus': 4, 'to_bus': 5, 'length_km': 1.0}}",case9,9,9,2,3
28,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 7, 'to_bus': 1, 'length_km': 1.0}}",case9,9,9,2,3
29,generation_variation,False,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
30,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 2, 'to_bus': 5, 'length_km': 1.0}}",case9,9,9,2,3
31,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 3, 'to_bus': 4, 'length_km': 1.0}}",case9,9,9,2,3
32,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 6, 'to_bus': 7, 'length_km': 1.0}}",case9,9,9,2,3
33,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
34,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
35,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
36,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 5, 'to_bus': 6, 'length_km': 1.0}}",case9,9,9,2,3
37,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
38,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 2, 'to_bus': 5, 'length_km': 1.0}}",case9,9,9,2,3
39,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
40,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
41,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
42,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
43,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
44,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 7, 'to_bus': 1, 'length_km': 1.0}}",case9,9,9,2,3
45,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
46,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
47,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
48,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
49,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
50,generation_variation,False,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
51,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 3, 'to_bus': 4, 'length_km': 1.0}}",case9,9,9,2,3
52,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 8, 'to_bus': 3, 'length_km': 1.0}}",case9,9,9,2,3
53,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
54,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
55,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
56,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
57,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 3, 'to_bus': 4, 'length_km': 1.0}}",case9,9,9,2,3
58,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
59,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
60,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
61,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
62,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 6, 'to_bus': 7, 'length_km': 1.0}}",case9,9,9,2,3
63,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
64,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
65,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
66,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
67,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
68,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 8, 'to_bus': 3, 'length_km': 1.0}}",case9,9,9,2,3
69,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
70,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
71,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
72,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
73,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 5, 'to_bus': 6, 'length_km': 1.0}}",case9,9,9,2,3
74,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 6, 'to_bus': 7, 'length_km': 1.0}}",case9,9,9,2,3
75,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
76,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 6, 'to_bus': 7, 'length_km': 1.0}}",case9,9,9,2,3
77,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
78,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
79,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
80,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 3, 'to_bus': 4, 'length_km': 1.0}}",case9,9,9,2,3
81,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
82,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
83,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 0, 'to_bus': 3, 'length_km': 1.0}}",case9,9,9,2,3
84,n1_contingency,False,n1_contingency,"{'removed_line': {'from_bus': 4, 'to_bus': 5, 'length_km': 1.0}}",case9,9,9,2,3
85,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 2, 'to_bus': 5, 'length_km': 1.0}}",case9,9,9,2,3
86,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
87,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
88,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
89,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
90,n1_contingency,True,n1_contingency,"{'removed_line': {'from_bus': 0, 'to_bus': 3, 'length_km': 1.0}}",case9,9,9,2,3
91,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
92,n1_contingency,False,n1_contingency,"{'removed_line': {'from_bus': 4, 'to_bus': 5, 'length_km': 1.0}}",case9,9,9,2,3
93,load_variation,True,load,"{'p_factor_range': (0.5, 1.5), 'q_factor_range': (0.5, 1.5)}",case9,9,9,2,3
94,generation_variation,False,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
95,n1_contingency,False,n1_contingency,"{'removed_line': {'from_bus': 4, 'to_bus': 5, 'length_km': 1.0}}",case9,9,9,2,3
96,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
97,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
98,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
99,generation_variation,True,generation,"{'p_factor_range': (0.5, 1.5)}",case9,9,9,2,3
