scenario_id,gen_id,bus,p_mw,vm_pu,p_mw_set,vm_pu_set
87,0,1,162.97724439368915,1.0,162.97724439368915,1.0
87,1,2,308.5442591200628,1.0,308.5442591200628,1.0
88,0,1,191.15086852674068,1.0,191.15086852674068,1.0
88,1,2,276.6522024772497,1.0,276.6522024772497,1.0
89,0,1,200.0,1.0,200.0,1.0
89,1,2,300.0,1.0,300.0,1.0
90,0,1,200.0,1.0,200.0,1.0
90,1,2,300.0,1.0,300.0,1.0
91,0,1,168.69261617524444,1.0,168.69261617524444,1.0
91,1,2,343.2289207935715,1.0,343.2289207935715,1.0
93,0,1,200.0,1.0,200.0,1.0
93,1,2,300.0,1.0,300.0,1.0
96,0,1,223.97462198916537,1.0,223.97462198916537,1.0
96,1,2,209.06897578194582,1.0,209.06897578194582,1.0
97,0,1,100.9140301206251,1.0,100.9140301206251,1.0
97,1,2,197.64659246819042,1.0,197.64659246819042,1.0
98,0,1,205.18596822264578,1.0,205.18596822264578,1.0
98,1,2,205.6456629777559,1.0,205.6456629777559,1.0
99,0,1,298.671523460583,1.0,298.671523460583,1.0
99,1,2,291.6097230908418,1.0,291.6097230908418,1.0
