scenario_id,load_id,bus,p_mw,q_mvar,p_mw_set,q_mvar_set
19,2,8,100.0,35.0,100.0,35.0
20,0,4,100.0,40.0,100.0,40.0
20,1,6,90.0,30.0,90.0,30.0
20,2,8,100.0,35.0,100.0,35.0
21,0,4,100.0,40.0,100.0,40.0
21,1,6,90.0,30.0,90.0,30.0
21,2,8,100.0,35.0,100.0,35.0
22,0,4,100.0,40.0,100.0,40.0
22,1,6,90.0,30.0,90.0,30.0
22,2,8,100.0,35.0,100.0,35.0
23,0,4,100.0,40.0,100.0,40.0
23,1,6,90.0,30.0,90.0,30.0
23,2,8,100.0,35.0,100.0,35.0
24,0,4,55.2380285540765,30.054431929314017,55.2380285540765,30.054431929314017
24,1,6,70.73910602391231,43.62263360079404,70.73910602391231,43.62263360079404
24,2,8,133.42127911429014,20.55233331393074,133.42127911429014,20.55233331393074
25,0,4,100.0,40.0,100.0,40.0
25,1,6,90.0,30.0,90.0,30.0
25,2,8,100.0,35.0,100.0,35.0
26,0,4,131.96910142280984,28.937879520153984,131.96910142280984,28.937879520153984
26,1,6,60.313222775928516,29.09631153147877,60.313222775928516,29.09631153147877
26,2,8,65.23937817835522,43.54219590496246,65.23937817835522,43.54219590496246
28,0,4,100.0,40.0,100.0,40.0
28,1,6,90.0,30.0,90.0,30.0
28,2,8,100.0,35.0,100.0,35.0
30,0,4,100.0,40.0,100.0,40.0
30,1,6,90.0,30.0,90.0,30.0
30,2,8,100.0,35.0,100.0,35.0
31,0,4,100.0,40.0,100.0,40.0
31,1,6,90.0,30.0,90.0,30.0
31,2,8,100.0,35.0,100.0,35.0
32,0,4,100.0,40.0,100.0,40.0
32,1,6,90.0,30.0,90.0,30.0
32,2,8,100.0,35.0,100.0,35.0
33,0,4,110.76243950138691,55.1273283471602,110.76243950138691,55.1273283471602
33,1,6,124.26214678328859,40.134538894501574,124.26214678328859,40.134538894501574
33,2,8,142.12582644626266,44.976150182038865,142.12582644626266,44.976150182038865
34,0,4,100.0,40.0,100.0,40.0
34,1,6,90.0,30.0,90.0,30.0
34,2,8,100.0,35.0,100.0,35.0
35,0,4,100.0,40.0,100.0,40.0
35,1,6,90.0,30.0,90.0,30.0
35,2,8,100.0,35.0,100.0,35.0
36,0,4,100.0,40.0,100.0,40.0
36,1,6,90.0,30.0,90.0,30.0
36,2,8,100.0,35.0,100.0,35.0
37,0,4,100.0,40.0,100.0,40.0
37,1,6,90.0,30.0,90.0,30.0
37,2,8,100.0,35.0,100.0,35.0
38,0,4,100.0,40.0,100.0,40.0
38,1,6,90.0,30.0,90.0,30.0
38,2,8,100.0,35.0,100.0,35.0
39,0,4,100.0,40.0,100.0,40.0
39,1,6,90.0,30.0,90.0,30.0
39,2,8,100.0,35.0,100.0,35.0
40,0,4,74.34583078322942,38.24132292814663,74.34583078322942,38.24132292814663
40,1,6,68.10587055467474,39.17100907443825,68.10587055467474,39.17100907443825
40,2,8,100.85721915721739,24.96364501540721,100.85721915721739,24.96364501540721
41,0,4,100.0,40.0,100.0,40.0
41,1,6,90.0,30.0,90.0,30.0
41,2,8,100.0,35.0,100.0,35.0
42,0,4,85.11152918645062,28.3176821116693,85.11152918645062,28.3176821116693
42,1,6,121.23266271497482,24.762041445878477,121.23266271497482,24.762041445878477
42,2,8,132.7616876063006,23.117938889593482,132.7616876063006,23.117938889593482
43,0,4,100.0,40.0,100.0,40.0
43,1,6,90.0,30.0,90.0,30.0
43,2,8,100.0,35.0,100.0,35.0
44,0,4,100.0,40.0,100.0,40.0
44,1,6,90.0,30.0,90.0,30.0
44,2,8,100.0,35.0,100.0,35.0
45,0,4,82.10705805073225,55.593541190491536,82.10705805073225,55.593541190491536
45,1,6,74.74128183616992,44.03983617212696,74.74128183616992,44.03983617212696
45,2,8,74.66410482062994,22.415951635177723,74.66410482062994,22.415951635177723
46,0,4,100.0,40.0,100.0,40.0
46,1,6,90.0,30.0,90.0,30.0
46,2,8,100.0,35.0,100.0,35.0
47,0,4,128.22413575405918,36.137896938540855,128.22413575405918,36.137896938540855
47,1,6,132.831817868527,43.78534173674997,132.831817868527,43.78534173674997
47,2,8,131.17072387902695,35.744897883598156,131.17072387902695,35.744897883598156
48,0,4,100.0,40.0,100.0,40.0
48,1,6,90.0,30.0,90.0,30.0
48,2,8,100.0,35.0,100.0,35.0
49,0,4,100.0,40.0,100.0,40.0
49,1,6,90.0,30.0,90.0,30.0
49,2,8,100.0,35.0,100.0,35.0
51,0,4,100.0,40.0,100.0,40.0
51,1,6,90.0,30.0,90.0,30.0
51,2,8,100.0,35.0,100.0,35.0
52,0,4,100.0,40.0,100.0,40.0
52,1,6,90.0,30.0,90.0,30.0
52,2,8,100.0,35.0,100.0,35.0
53,0,4,98.50966385867731,28.794940866643266,98.50966385867731,28.794940866643266
53,1,6,113.56827363968675,36.23868972302229,113.56827363968675,36.23868972302229
53,2,8,75.5704833628198,42.57530032589804,75.5704833628198,42.57530032589804
54,0,4,100.0,40.0,100.0,40.0
54,1,6,90.0,30.0,90.0,30.0
54,2,8,100.0,35.0,100.0,35.0
55,0,4,102.14968947266492,28.177015093193255,102.14968947266492,28.177015093193255
55,1,6,77.50754334479252,35.54683668294798,77.50754334479252,35.54683668294798
55,2,8,92.98018438382677,28.5448677823484,92.98018438382677,28.5448677823484
56,0,4,100.0,40.0,100.0,40.0
56,1,6,90.0,30.0,90.0,30.0
56,2,8,100.0,35.0,100.0,35.0
57,0,4,100.0,40.0,100.0,40.0
57,1,6,90.0,30.0,90.0,30.0
57,2,8,100.0,35.0,100.0,35.0
58,0,4,113.5595511650306,51.91382462903141,113.5595511650306,51.91382462903141
58,1,6,58.28097288751483,43.99646120852878,58.28097288751483,43.99646120852878
58,2,8,67.38704764686655,29.810410832313025,67.38704764686655,29.810410832313025
59,0,4,100.0,40.0,100.0,40.0
59,1,6,90.0,30.0,90.0,30.0
59,2,8,100.0,35.0,100.0,35.0
60,0,4,100.0,40.0,100.0,40.0
60,1,6,90.0,30.0,90.0,30.0
60,2,8,100.0,35.0,100.0,35.0
61,0,4,120.42282528485491,53.584920774582244,120.42282528485491,53.584920774582244
61,1,6,97.917532731677,36.36345197121097,97.917532731677,36.36345197121097
61,2,8,104.06949279123916,22.470087398206186,104.06949279123916,22.470087398206186
62,0,4,100.0,40.0,100.0,40.0
62,1,6,90.0,30.0,90.0,30.0
62,2,8,100.0,35.0,100.0,35.0
63,0,4,84.69254090517663,55.98572641418825,84.69254090517663,55.98572641418825
63,1,6,114.26632967711535,41.342616552798276,114.26632967711535,41.342616552798276
63,2,8,60.6086075988582,50.99244650869337,60.6086075988582,50.99244650869337
64,0,4,129.57886189383063,55.7792870030029,129.57886189383063,55.7792870030029
64,1,6,115.44472691291828,32.26782436045813,115.44472691291828,32.26782436045813
64,2,8,75.1912794198413,50.01694875658989,75.1912794198413,50.01694875658989
65,0,4,100.0,40.0,100.0,40.0
65,1,6,90.0,30.0,90.0,30.0
65,2,8,100.0,35.0,100.0,35.0
66,0,4,100.0,40.0,100.0,40.0
66,1,6,90.0,30.0,90.0,30.0
66,2,8,100.0,35.0,100.0,35.0
67,0,4,132.50717928671034,22.951991273140663,132.50717928671034,22.951991273140663
67,1,6,108.15367739653021,43.795201264168725,108.15367739653021,43.795201264168725
67,2,8,53.43710135609402,43.325419293904325,53.43710135609402,43.325419293904325
68,0,4,100.0,40.0,100.0,40.0
68,1,6,90.0,30.0,90.0,30.0
68,2,8,100.0,35.0,100.0,35.0
69,0,4,87.40833023990162,47.044664505646395,87.40833023990162,47.044664505646395
69,1,6,86.50796919942623,35.12618385916601,86.50796919942623,35.12618385916601
69,2,8,123.73827647646931,43.08794624938053,123.73827647646931,43.08794624938053
70,0,4,74.18111566004501,48.08736024397385,74.18111566004501,48.08736024397385
70,1,6,77.9316788566462,42.88932368089243,77.9316788566462,42.88932368089243
70,2,8,111.49112047344359,21.20985268998428,111.49112047344359,21.20985268998428
71,0,4,100.0,40.0,100.0,40.0
71,1,6,90.0,30.0,90.0,30.0
71,2,8,100.0,35.0,100.0,35.0
72,0,4,123.30920256218631,56.67635628117903,123.30920256218631,56.67635628117903
72,1,6,66.20316197651705,28.994126265613176,66.20316197651705,28.994126265613176
72,2,8,88.13560025515798,25.495203007689337,88.13560025515798,25.495203007689337
73,0,4,100.0,40.0,100.0,40.0
73,1,6,90.0,30.0,90.0,30.0
73,2,8,100.0,35.0,100.0,35.0
74,0,4,100.0,40.0,100.0,40.0
74,1,6,90.0,30.0,90.0,30.0
74,2,8,100.0,35.0,100.0,35.0
75,0,4,107.67314015016747,44.864489745412676,107.67314015016747,44.864489745412676
75,1,6,123.09301704951167,19.349669930237134,123.09301704951167,19.349669930237134
75,2,8,148.7546691088279,34.24000354770228,148.7546691088279,34.24000354770228
76,0,4,100.0,40.0,100.0,40.0
76,1,6,90.0,30.0,90.0,30.0
76,2,8,100.0,35.0,100.0,35.0
77,0,4,100.0,40.0,100.0,40.0
77,1,6,90.0,30.0,90.0,30.0
77,2,8,100.0,35.0,100.0,35.0
78,0,4,107.50597855710451,32.4031739470172,107.50597855710451,32.4031739470172
78,1,6,81.79552009260671,25.66391993692868,81.79552009260671,25.66391993692868
78,2,8,133.36708694661957,28.268983614292722,133.36708694661957,28.268983614292722
79,0,4,100.0,40.0,100.0,40.0
79,1,6,90.0,30.0,90.0,30.0
79,2,8,100.0,35.0,100.0,35.0
80,0,4,100.0,40.0,100.0,40.0
80,1,6,90.0,30.0,90.0,30.0
80,2,8,100.0,35.0,100.0,35.0
81,0,4,100.0,40.0,100.0,40.0
81,1,6,90.0,30.0,90.0,30.0
81,2,8,100.0,35.0,100.0,35.0
82,0,4,147.23294447148817,54.73175713199204,147.23294447148817,54.73175713199204
82,1,6,80.89199652296,30.23923386886764,80.89199652296,30.23923386886764
82,2,8,112.27031108875364,31.918459556007598,112.27031108875364,31.918459556007598
83,0,4,100.0,40.0,100.0,40.0
83,1,6,90.0,30.0,90.0,30.0
83,2,8,100.0,35.0,100.0,35.0
85,0,4,100.0,40.0,100.0,40.0
85,1,6,90.0,30.0,90.0,30.0
85,2,8,100.0,35.0,100.0,35.0
86,0,4,61.18337032183142,46.24974859705274,61.18337032183142,46.24974859705274
86,1,6,90.32413128192424,39.41099330071492,90.32413128192424,39.41099330071492
86,2,8,83.05386319454546,28.672051338678006,83.05386319454546,28.672051338678006
87,0,4,100.0,40.0,100.0,40.0
87,1,6,90.0,30.0,90.0,30.0
87,2,8,100.0,35.0,100.0,35.0
88,0,4,100.0,40.0,100.0,40.0
88,1,6,90.0,30.0,90.0,30.0
88,2,8,100.0,35.0,100.0,35.0
89,0,4,106.91170603313036,42.47646319339809,106.91170603313036,42.47646319339809
89,1,6,110.55056604484585,42.815763476077045,110.55056604484585,42.815763476077045
89,2,8,90.28787183400813,19.23406696666456,90.28787183400813,19.23406696666456
90,0,4,100.0,40.0,100.0,40.0
90,1,6,90.0,30.0,90.0,30.0
90,2,8,100.0,35.0,100.0,35.0
91,0,4,100.0,40.0,100.0,40.0
91,1,6,90.0,30.0,90.0,30.0
91,2,8,100.0,35.0,100.0,35.0
93,0,4,62.75994772308111,22.308269739545498,62.75994772308111,22.308269739545498
93,1,6,89.82816089041495,34.40239523773154,89.82816089041495,34.40239523773154
93,2,8,65.56469166141031,33.11258680676449,65.56469166141031,33.11258680676449
96,0,4,100.0,40.0,100.0,40.0
96,1,6,90.0,30.0,90.0,30.0
96,2,8,100.0,35.0,100.0,35.0
97,0,4,100.0,40.0,100.0,40.0
97,1,6,90.0,30.0,90.0,30.0
97,2,8,100.0,35.0,100.0,35.0
98,0,4,100.0,40.0,100.0,40.0
98,1,6,90.0,30.0,90.0,30.0
98,2,8,100.0,35.0,100.0,35.0
99,0,4,100.0,40.0,100.0,40.0
99,1,6,90.0,30.0,90.0,30.0
99,2,8,100.0,35.0,100.0,35.0
